id,importe,descripcion,iban,fechaImporte
39,-7.20,trabajo-desayuno,BBVA,12/09/2023
40,-13.34,Alimentacion,BBVA,12/09/2023
41,-1.40,trabajo-desayuno,BBVA,12/09/2023
42,-100.00,Transaccion ayuda residencia,BBVA,12/09/2023
43,-9.00,ocio reserva Lo Refugi Montsant,BBVA,12/09/2023
44,-1.60,trabajo-cafe,BBVA,13/09/2023
45,-5.39,Alimentacion-muesli,BBVA,13/09/2023
46,-5.49,Higuiene-Papel wc 24 unidades,BBVA,13/09/2023
47,-3.95,Cocina-recipiente taper,BBVA,13/09/2023
48,-3.05,trabajo-cafe,BBVA,14/09/2023
49,-3.51,trabajo-desayuno,BBVA,14/09/2023
50,5.84,Intereses a mi favor,ING,14/08/2023
51,5.85,Intereses a mi favor,ING,14/09/2023
52,-1.40,Alimentacion,BBVA,15/09/2023
53,-19.37,Alimentacion,BBVA,15/09/2023
54,-2.95,trabajo-cafe,BBVA,15/09/2023
55,-0.91,trabajo-desayuno,BBVA,15/09/2023
56,-1.45,ocio-cafe,BBVA,16/09/2023
57,-7.99,Alimentacion,BBVA,16/09/2023
58,-1.40,desayuno-casa,BBVA,17/09/2023
59,-1.45,trabajo-cafe,BBVA,18/09/2023
60,-3.14,desayuno-trabajo,BBVA,18/09/2023
61,-1.30,trabajo-cafe,BBVA,19/09/2023
62,-6.45,desayuno-trabajo,BBVA,19/09/2023
63,-1.40,Alimentacion,BBVA,19/09/2023
64,-2.09,Higuiene-Maquinillas afeitar,BBVA,19/09/2023
65,-16.96,Alimentacion,BBVA,19/09/2023
66,3.74,Descuento cheque ahorro,BBVA,19/09/2023
67,-3.10,Trabajo-cafe,BBVA,20/09/2023
68,-0.91,trabajo-desayuno,BBVA,20/09/2023
69,-4.70,cafe-salida residencia,BBVA,20/09/2023
70,-1.45,trabajo-cafe,BBVA,21/09/2023
71,-3.14,trabajo-desayuno,BBVA,21/09/2023
72,-33.86,Suministro agua,BBVA,21/09/2023
73,-1.45,trabajo-cafe,BBVA,22/09/2023
74,-4.70,trabajo-desayuno,BBVA,22/09/2023
75,-4.50,Higuiene-detergente ropa,BBVA,22/09/2023
76,-7.46,Alimentacion,BBVA,22/09/2023
77,-65.30,ocio-salida fin de semana,BBVA,24/09/2023
78,-2.95,ocio-salida fin de semana,BBVA,24/09/2023
79,-27.14,Suministro electricidad,BBVA,25/09/2023
80,-1.45,trabajo-cafe,BBVA,25/09/2023
81,-3.14,trabajo-desayuno,BBVA,25/09/2023
82,-3.95,Higuiene-detergente lavavajillas,BBVA,25/09/2023
83,-1.45,trabajo-cafe,BBVA,26/09/2023
84,-5.00,trabajo-desayuno,BBVA,26/09/2023
85,-4.45,trabajo-desayuno,BBVA,26/09/2023
86,-7.84,Alimentacion,BBVA,26/09/2023
87,-20.00,ocio-salida fin de semana,BBVA,01/10/2023
88,-11.04,Seguros-BBVA,BBVA,27/09/2023
89,-1.60,trabajo-cafe,BBVA,27/09/2023
90,-1.64,trabajo-desayuno,BBVA,27/09/2023
91,-1.45,residencia-cafe,BBVA,27/09/2023
92,-1.60,trabajo-cafe,BBVA,28/09/2023
93,-4.86,trabajo-desayuno,BBVA,28/09/2023
94,-4.40,trabajo-desayuno,BBVA,28/09/2023
95,-9.68,Alimentacion,BBVA,28/09/2023
96,-0.05,Alimentacion,BBVA,28/09/2023
97,-1.45,trabajo-cafe,BBVA,29/09/2023
98,-0.73,trabajo-desayuno,BBVA,29/09/2023
99,-15.00,gasolina-transporte,BBVA,29/09/2023
100,-5.00,desayuno-trabajo,BBVA,30/09/2023
101,-30.48,Alimentacion,BBVA,30/09/2023
102,1409.35,Abono de nomina,BBVA,01/10/2023
103,-420.09,hipoteca,BBVA,01/10/2023
104,-22.80,ocio-salida escalada,BBVA,01/10/2023
105,-43.50,afiliacion sindicato,BBVA,02/10/2023
106,-1.40,trabajo-cafe,BBVA,02/10/2023
107,-3.95,Trabajo-desayuno,BBVA,02/10/2023
108,5.00,Ingreso por bizum,BBVA,02/10/2023
109,-1.60,trabajo-cafe,BBVA,03/10/2023
110,-3.10,trabajo-desayuno,BBVA,03/10/2023
111,-8.00,trabajo-desayuno,BBVA,03/10/2023
112,-21.49,Alimentacion,BBVA,03/10/2023
113,-25.20,seguro bbva,BBVA,04/10/2023
114,-131.05,gastos de comunidad,BBVA,04/10/2023
115,-1.60,trabajo-cafe,BBVA,04/10/2023
116,-3.10,trabajo-desayuno,BBVA,04/10/2023
117,-2.95,ocio-cerveza,BBVA,04/10/2023
118,-20.00,loteria de navidad,BBVA,05/10/2023
119,-31.00,ong-ayuda en accion,BBVA,05/10/2023
120,-3.10,trabajo-desayuno,BBVA,05/10/2023
121,-1.40,trabajo-cafe,BBVA,05/10/2023
122,-2.80,trabajo-cafe,BBVA,06/10/2023
123,-7.00,trabajo-desayuno,BBVA,06/10/2023
124,5.66,Intereses a mi favor,ING,06/10/2023
125,-22.07,Alimentacion,BBVA,07/10/2023
126,-9.80,ocio-salida de escalada,BBVA,08/10/2023
127,-6.20,Higuiene - maquinillas y espuma,BBVA,08/10/2023
128,-20.00,transporte-targeta Tusual,BBVA,09/10/2023
129,-1.40,trabajo-cafe,BBVA,09/10/2023
130,-7.50,trabajo-desayuno,BBVA,09/10/2023
131,-14.71,Alimentacion,BBVA,10/10/2023
132,-1.60,trabajo-cafe,BBVA,10/10/2023
133,-7.50,trabajo-desayuno,BBVA,10/10/2023
134,-83.16,Internet-movil,BBVA,11/10/2023
135,-24.31,Alimentacion,BBVA,11/10/2023
136,-2.00,cafe-residencia,BBVA,11/10/2023
137,-1.40,cafe-trabajo,BBVA,11/10/2023
138,-1.64,desayuno-trabajo,BBVA,11/10/2023
139,-100.00,Transaccion ayuda residencia,BBVA,13/10/2023
140,-24.71,Alimentacion,BBVA,13/10/2023
141,-3.05,cafe-trabajo,BBVA,13/10/2023
142,-7.50,trabajo-desayuno,BBVA,13/10/2023
143,-10.50,ocio-via larga Berga,BBVA,14/10/2023
144,-1.60,trabajo-cafe,BBVA,16/10/2023
145,-5.50,trabajo-desayuno,BBVA,16/10/2023
146,-1.45,residencia-cafe,BBVA,16/10/2023
147,-1.60,trabajo-cafe,BBVA,17/10/2023
148,-4.50,trabajo-desayuno,BBVA,17/10/2023
149,-1.40,trabajo-cafe,BBVA,18/10/2023
150,-1.45,residencia-cafe,BBVA,18/10/2023
151,-5.50,trabajo-desayuno,BBVA,18/10/2023
152,-30.00,Alimentacion,BBVA,19/10/2023
153,-6.41,desayuno-trabajo,BBVA,19/10/2023
154,-6.75,trabajo-desayuno,BBVA,19/10/2023
155,-1.60,trabajo-cafe,BBVA,19/10/2023
156,-1.35,trabajo-cafe,BBVA,19/10/2023
157,-28.04,Alimentacion,BBVA,20/10/2023
158,-2.95,trabajo-cafe,BBVA,20/10/2023
159,-3.11,trabajo-desayuno,BBVA,20/10/2023
160,-3.00,Bizum ocio salida,BBVA,21/10/2023
161,-23.61,suministro de luz,BBVA,23/10/2023
162,-6.90,trabajo-desayuno,BBVA,23/10/2023
163,-3.00,cerveza,BBVA,23/10/2023
164,-2.75,Higuiente-maquinillas,BBVA,24/10/2023
165,2.95,trabajo-cafe,BBVA,24/10/2023
166,-2.90,trabajo-desayuno,BBVA,24/10/2023
167,-2.85,trabajo-cafe,BBVA,24/10/2023
168,-3.05,trabajo-cafe,BBVA,24/10/2023
169,-30.00,Bizum Miquel gasolina,BBVA,25/10/2023
170,-13.45,Higuiene dental,BBVA,25/10/2023
171,-11.04,Seguro BBVA,BBVA,25/10/2023
172,-7.45,trabajo-desayuno,BBVA,25/10/2023
173,-2.95,trabajo-cafe,BBVA,25/10/2023
174,-1.45,residencia-cafe,BBVA,25/10/2023
175,-12.99,Formacion  Kotlin,BBVA,25/10/2023
176,-12.09,Alimentacion,BBVA,26/10/2023
177,-1.60,trabajo-cafe,BBVA,26/10/2023
178,-5.50,trabajo-desayuno,BBVA,26/10/2023
179,-1.60,trabajo-cafe,BBVA,27/10/2023
180,-6.10,trabajo-desayuno,BBVA,27/10/2023
181,-22.46,Alimentacion,BBVA,28/10/2023
182,-5.90,ocio-desayuno,BBVA,29/10/2023
183,-1.70,ocio-cafe,BBVA,29/10/2023
184,-14.95,ocio-comida,BBVA,29/10/2023
185,-8.80,trabajo-desayuno,BBVA,30/10/2023
186,-9.35,trabajo-desayuno,BBVA,31/10/2023
187,-1.60,trabajo-cafe,BBVA,31/10/2023
